"","BM_Series2_A549_Mock_1","BM_Series2_A549_Mock_2","BM_Series2_A549_Mock_3","BM_Series2_A549_SARS.CoV.2_1","BM_Series2_A549_SARS.CoV.2_2","BM_Series2_A549_SARS.CoV.2_3"
"TSPAN6",894.849549437726,818.830648595561,673.769107562455,1122.87252952722,850.912644425375,875.215332453788
"DPM1",701.368565775515,721.585700655641,611.007053707322,943.991215432609,795.965818955755,780.433948524461
"SCYL3",159.933877624005,155.028177875235,160.597020158722,186.413158898594,168.656228177586,135.113887729041
"C1orf112",451.715683630727,401.663915404019,435.642491465039,520.952598942198,420.495844913347,407.358288377109
"CFH",424.409899646141,391.798485902868,310.118383754774,807.162701493574,564.731261771101,529.364112371243
"FUCA2",1199.11399955169,1135.933739704,1358.61387168758,1350.71083484772,1336.27626940702,1284.59024602088
"GCLC",2775.82798334737,2679.16878309839,2752.30065582362,2884.69655992571,2656.52638138541,2680.09487749098
"NFYA",515.689234680329,450.991062909776,385.802036933022,581.207357374067,544.126202219993,523.314236801286
"STPG1",160.714042880708,140.934707159305,145.829478075161,161.934663285647,160.261574286394,164.354952983833
"NIPAL3",312.066102680986,295.96288503454,315.656212036109,310.688598164323,286.181382654274,298.460528117882
"LAS1L",2008.14537075214,2005.50088287691,2143.13954487674,1744.24972585587,1989.53297221251,1999.48387587081
"ENPP4",28.0859492412887,22.5495531454888,11.0756565626705,26.3614568139426,23.6576609660867,21.1745644948497
"SEMA3F",52.2710721990651,56.373882863722,66.4539393760229,65.9036420348564,96.1569445718361,82.6816327894131
"CFTR",2.34049577010739,2.8186941431861,3.69188552089016,1.2553074673306,1.52630070748946,6.04987556995706
"ANKIB1",1071.94706270919,1014.729891547,976.503720275448,1249.65858372761,1089.01555479373,1092.00254037725
"CYP51A1",2635.39823714092,2646.75380045175,2388.64993201594,3357.94747510935,2600.0532552083,2806.13395186508
"KRIT1",482.922293898825,520.049069417835,439.33437698593,656.525805413903,488.416226396628,535.4139879412
"RAD52",223.127263416905,243.817043385597,260.277929222757,262.359260672095,263.286872041932,273.25271324306
"MYH16",12.4826441072394,14.0934707159305,9.22971380222541,15.0636896079672,16.0261574286394,14.1163763298998
"BAD",879.246244303677,900.572778747958,874.976868450969,842.938964312496,915.780424493677,926.639274798423
"LAP3",672.502451277524,737.088518443165,778.987844907825,1395.27424993796,1490.43264086346,1381.3882551402
"CD99",1754.59166232384,1861.74748157442,1836.71304664286,1561.60248935926,1732.35130300054,1728.24778781773
"HS3ST1",59.2925595093873,43.6897592193845,51.6863972924623,59.6271046982034,52.6573744083864,58.4821305095849
"HECW1",268.376848305648,256.501167029935,228.89690229519,219.678806782855,254.89221815074,279.302588813018
"MAD1L1",419.728908105926,408.710650761984,457.79380459038,340.188323646592,451.021859063136,378.117223122316
"LASP1",11973.9763598694,12548.8263254645,12347.5111246172,10651.9115140338,12234.8264712355,11940.4377499052
"SNX11",471.219815048288,541.189275491731,509.480201882843,492.70818092726,456.363911539349,491.048233761515
"M6PR",3651.17340136753,3868.65771152292,3946.62562183159,3744.58217504717,3518.88628111696,3490.77820386522
"KLHL13",33.547106038206,36.6430238614193,25.8431986462311,37.0315702862526,42.7364198097049,48.3990045596565
"CYP26B1",851.940460319091,903.391472891144,793.755386991385,790.843704418277,818.097179214352,835.891141249067
"ICA1",75.676029900139,63.4206182216872,71.9917676573582,59.6271046982034,54.1836751158759,56.4655053195992
"DBNDD1",1017.33549474001,973.858826470797,1133.40885491328,898.800146608708,1030.25297755539,1059.73653733748
"ALS2",824.634676334505,749.772642087502,762.374360063819,866.162152458112,792.150067187031,880.256895428752
"CASP10",170.076025961137,146.572095445677,191.978047086289,200.849194772896,202.234843742354,201.662518998569
"CFLAR",2229.71230365564,2174.62253146807,2235.43668289899,2373.78642072216,2244.42519036325,2231.39577271916
"TFPI",1099.25284669377,986.542950115134,793.755386991385,1711.61173170527,1099.69965974616,1030.49547208269
"NDUFAF7",425.970230159545,428.441509764287,452.255976309045,549.197016957136,480.021572505436,516.256048636336
"RBM5",1031.37846936066,983.724255971948,1076.18462933948,1027.46916201009,1003.54271517432,1001.25440682789
"MTMR7",11.702478850537,2.8186941431861,9.22971380222541,18.2019582762937,8.39465389119204,8.06650075994274
"SLC7A2",196.601644689021,209.992713667364,201.207760888514,314.454520566315,234.287158599632,219.81214570844
"ARF5",1928.56851456849,2135.16081346347,2119.14228899095,1727.93072878057,1939.16504886536,1974.27606099599
"SARM1",352.634696029514,319.921785251622,319.348097556999,344.581899782249,341.89135847764,419.458039517023
"POLDIP2",3032.50235280248,3042.78032756939,3187.94314728866,2779.87838640361,3129.67960070714,3070.31185175321
"PLXND1",1557.99001763482,1540.4163492512,1557.97568981565,1313.67926456147,1538.51111314938,1564.90114742889
"AK2",2115.02801092038,2116.83930153276,2229.89885461766,2303.48920255165,2278.00380592802,2238.45396088411
"CD38",200.502470972533,181.805772235503,188.286161565398,274.912335345401,200.708543034864,234.936834633332
"FKBP4",3694.86265574287,3762.95668115344,3858.02036933022,3659.22126726869,4090.48589607176,4026.19219180642
"KDM1A",1515.86109377289,1581.2874143274,1617.04585814989,1690.89915849432,1725.48294981684,1720.18128705779
"RBM6",633.494188442401,699.036147510152,703.304191729576,788.960743217281,755.518850207284,832.866203464088
"CAMKK1",566.399976365989,601.791199570232,581.471969540201,402.953697013122,459.416512954328,446.682479581829
"RECQL",1631.32555176485,1665.84823862298,1277.392390228,2226.28779331081,1617.87874993883,1577.00089856881
"VPS50",308.165276397473,304.418967464099,254.740100941421,386.007046204159,280.839330178061,300.477153307867
"HSPB6",2.34049577010739,5.63738828637219,11.0756565626705,3.76592240199179,3.81575176872366,7.0581881649499
"ARHGAP33",172.416521731245,195.899242951434,158.751077398277,131.807284069713,154.156371456436,156.288452223891
"NDUFAB1",1057.90408808854,1009.09250326062,959.890235431443,1139.19152660252,1024.91092507917,1041.58691062761
"PDK4",519.590060963841,491.862127985974,435.642491465039,947.129484100936,647.914650329277,698.76062833004
"ZMYND10",6.24132205361971,8.45608242955829,20.3053703648959,5.64888360298769,12.9735560136604,13.108063734907
"ARX",33.547106038206,36.6430238614193,47.9945117715721,35.776262818922,39.683818394726,62.5153808895563
"SLC25A13",1060.24458385865,949.899926253715,991.271262359009,1102.78761004993,1002.01641446683,1017.38740834778
"ST7",424.409899646141,355.155462041448,378.418265891242,415.506771686428,393.785582532281,413.408163947066
"CDC27",2055.73545141099,1792.68947506636,1633.6593429939,2787.41023120759,2056.69020334205,2033.76650410056
"HCCS",660.019807170285,622.931405644128,742.068989698923,736.865483323061,652.493552451745,719.93519282489
"DVL2",1120.31730862474,1269.82171150534,1249.70324882132,935.204063161295,1059.25269099769,1104.10229151716
"PRSS22",0,0,0,0.627653733665299,1.52630070748946,4.03325037997137
"UPF1",1557.99001763482,1620.74913233201,1836.71304664286,1369.54044685768,1582.01068331283,1595.15052527868
"SKAP2",585.904107783551,620.112711500941,635.004309593108,803.396779091583,631.888492900637,605.995869590699
"SLC25A5",9965.83098911728,10009.1829024538,9054.34923998313,10320.5103426585,10151.4260055124,9463.01370400783
"MCUB",401.785107201769,391.798485902868,293.504898910768,461.95314797766,387.680379702323,345.851220082545
"HOXA11",9.36198308042957,8.45608242955829,16.6134848440057,7.53184480398359,8.39465389119204,12.0997511399141
"POLR2J",1018.89582525342,976.677520613983,1017.11446100524,929.555179558308,1024.14777472543,959.913590433187
"DHX33",1038.39995667098,1092.24398048461,1177.71148116396,1051.32000388938,1093.5944569162,1088.97760259227
"THSD7A",400.224776688364,373.476973972158,411.645235579253,415.506771686428,374.706823688663,374.083972742345
"LIG3",1021.23632102353,1144.38982213356,1334.61661580179,1040.0222366834,1109.62061434484,1151.49298348183
"RPAP3",932.297481759445,896.344737533179,697.766363448241,1395.27424993796,991.332309514406,1023.43728391774
"ACSM3",134.968589409526,124.022542300188,158.751077398277,189.55142756692,164.840476408862,148.221951463948
"REXO5",110.003301195047,126.841236443374,155.059191877387,134.317899004374,137.367063674052,128.055699564091
"CIAPIN1",1176.48920710732,1202.17305206887,1168.48176736174,1134.1702967332,1237.06672342021,1203.92523842145
"SPPL2B",577.322289959823,613.065976142976,583.317912300646,448.144765837023,559.389209294888,608.012494780684
"FAM214B",268.376848305648,269.185290674272,262.123871983202,270.518759209744,281.602480531806,291.402339952932
"COPZ2",99.8611528579154,87.379518438769,107.064680105815,82.2226391101541,103.025297755539,104.864509879256
"PRKAR2B",120.925614788882,124.022542300188,156.905134637832,144.988012476684,123.630357306646,114.947635829184
"MSL3",664.700798710499,655.346388290768,740.223046938478,684.770223428841,621.967538301956,661.453062315305
"CREBBP",1348.90572883856,1240.22542300188,1415.83809726138,1122.24487579355,1227.90891917527,1241.23280443619
"PON1",7.80165256702464,12.6841236443374,11.0756565626705,10.6701134723101,9.9209545986815,2.01662518998569
"GCFC2",304.264450113961,253.682472886749,225.2050167743,353.369052053563,231.997707538398,236.953459823318
"WDR54",1199.11399955169,1379.75078308959,1159.25205355951,1094.00045777862,1272.93479004621,1190.81717468655
"CROT",279.299161899482,256.501167029935,239.972558857861,340.188323646592,244.208113198314,284.344151787982
"ABCB4",0,2.8186941431861,0,2.5106149346612,3.05260141497892,0
"KMT2E",879.246244303677,766.684806946619,812.214814595836,986.67166932185,926.464529446103,870.173769478824
"RHBDD2",763.00162105501,790.6437071637,766.066245584709,768.875823739991,840.991689826694,874.207019858795
"SOX8",9.36198308042957,8.45608242955829,16.6134848440057,12.553074673306,12.2104056599157,10.0831259499284
"IBTK",1775.65612425481,1591.15284382855,1284.77616126978,2344.28669523989,1572.85287906789,1550.78477109899
"ZNF195",364.337174880051,315.693744036843,398.723636256138,450.655380771685,395.311883239771,367.025784577395
"MYCBP2",764.561951568415,546.826663778103,758.682474542929,670.961841288204,563.204961063612,568.688303575963
"FBXL3",351.074365516109,339.652644253925,315.656212036109,384.751738736828,329.680952817724,329.71821856266
"ITGAL",5.46115679691725,7.04673535796524,3.69188552089016,4.39357613565709,3.81575176872366,11.0914385449213
"PDK2",339.371886665572,349.518073755076,310.118383754774,323.241672837629,331.970403878958,339.801344512588
"ITGA3",12080.8590000377,12430.4411714507,12114.9223368011,9898.09937990176,11976.1185013161,12006.9863811748
"ZFX",550.016505975237,480.58735141323,511.326144643288,605.058199253348,511.31073700897,476.931857431615
"LAMP2",1945.73215021595,1868.79421693238,1753.64562242283,2354.9568087122,1765.92991856531,1757.48885307253
"ITGA2B",48.3702459155528,45.0991062909776,47.9945117715721,52.0952598942198,48.0784722859181,48.3990045596565
"ASB4",18.7239661608591,26.7775943602679,25.8431986462311,40.1698389545791,39.683818394726,22.1828770898425
"GDE1",1767.07430643108,1626.38652061838,1733.34025205793,1830.86594110168,1700.29898814326,1845.2120488369
"REX1BD",609.309065484625,580.650993496336,629.466481311773,472.62326144997,509.021285947736,573.729866550928
"CRLF1",20.2842966742641,45.0991062909776,29.5350841671213,30.1273792159343,19.0787588436183,19.157939304864
"OSBPL7",292.561971263424,365.0208915426,293.504898910768,257.965684536438,295.339186899211,290.394027357939
"TMEM98",773.923934648844,775.140889376177,716.225791052692,705.482796639796,755.518850207284,646.328373390412
"YBX2",7.80165256702464,9.86542950115134,16.6134848440057,18.2019582762937,16.0261574286394,18.1496267098712
"MAP3K14",1709.3420774351,1803.9642516391,1816.40767627796,1062.61777109535,1327.88161551583,1390.46306849513
"ABCC8",104.54214439813,100.063642083106,84.9133669804738,81.5949853764889,115.235703415454,116.96426101917
"TMEM132A",2800.79327156185,2741.18005424848,2877.82476353388,2374.41407445583,2808.39330178061,2746.6435087605
"AP2B1",7987.33189811983,7258.1374187042,8096.30494731213,8030.20186851383,7804.73866774737,8000.96044126821
"ZNF263",652.998319859963,649.709000004396,749.452760740703,670.961841288204,706.677227567621,713.885317254933
"CX3CL1",28.0859492412887,26.7775943602679,23.9972558857861,28.2444180149384,42.7364198097049,39.3241912047209
"SPATA20",3183.85441260276,3464.17510197571,3259.93491494601,2862.10102551376,3286.88857357856,3280.04087151172
"CACNA1G",429.090891186355,443.94432755181,489.174831517947,529.739751213512,605.941380873316,621.120558515591
"TNFRSF12A",3501.38167208066,3939.12506510257,3780.49077339153,2957.50439303089,3647.09554054607,3701.51553621873
"MAP3K9",589.804934067063,531.323845990579,629.466481311773,556.72886176112,589.152073090932,653.386561555362
"RALA",597.606586634088,569.376216923592,544.553114331299,724.94006238342,631.888492900637,641.286810415448
"BAIAP2L1",1896.58173904369,1951.94569415637,2098.83691862606,1866.6422039206,2000.98022751868,2070.06575752031
"KDM7A",105.322309654833,63.4206182216872,95.9890235431443,106.701134723101,77.8413360819626,63.5236934845491
"ETV1",127.947102099204,114.157112799037,70.1458248969131,145.615666210349,112.94625235422,85.7065705743917
"AGK",691.226417438383,711.72027115449,745.760875219813,721.801793715094,628.072741131914,664.478000100284
"ALDH3B1",5612.50885671753,5993.95309548524,6143.29750676123,4351.52333550152,4962.76675040199,4964.93121774476
"PHTF2",354.195026542919,350.927420826669,324.885925838334,502.750640665904,357.917515906279,366.017471982402
"CCL26",3.90082628351232,7.04673535796524,3.69188552089016,6.90419107031829,8.39465389119204,4.03325037997137
"FARP2",723.213192963184,649.709000004396,771.604073866044,665.312957685217,680.7301155403,725.985068394847
"USH1C",79.5768561836513,104.291683297886,92.2971380222541,85.9885615121459,80.8939374969415,80.6650075994274
"GGCT",879.246244303677,890.707349246807,804.831043554056,1033.11804561308,873.807155037717,899.414834733616
"DBF4",491.504111722552,490.452780914381,326.731868598779,696.067990634816,479.258422151691,486.00667078655
"TBXA2R",8.58181782372711,4.22804121477915,5.53782828133525,7.53184480398359,6.86835318370258,4.03325037997137
"IFRD1",615.550387538244,683.533329722629,596.239511623761,716.780563845771,657.072454574213,666.494625290269
"COX10",280.859492412887,319.921785251622,367.342609328571,330.145863907947,305.260141497892,294.42727773791
"GTF2IRD1",426.750395416248,412.938691976763,441.180319746375,380.985816334836,473.153219321733,509.197860471386
"PAF1",1553.30902609461,1531.96026682164,1687.1916830468,1482.51811891744,1750.66691149041,1675.81553287811
"VPS41",829.315667874719,793.462401306886,762.374360063819,967.842057311891,776.123909758392,818.749827134189
"ARHGAP44",183.338835325079,163.484260304794,204.899646409404,146.243319944015,180.866633837501,212.75395754349
"ELAC2",2585.46766071197,2803.19132539857,2827.98430900187,2275.87243827037,2628.28981829685,2681.10319008597
"SCIN",6.24132205361971,2.8186941431861,7.38377104178033,6.90419107031829,7.63150353744731,4.03325037997137
"ARSD",505.547086343197,481.996698484823,524.247743966403,443.123535967701,434.232551280752,454.748980341772
"PNPLA4",132.628093639419,126.841236443374,149.521363596052,151.892203547002,144.235416857754,137.130512919027
"ADIPOR2",1906.72388738082,1887.11572886309,1916.08858534199,1928.1522698198,1947.55970275655,2028.7249411256
"CDKL3",10.142148337132,18.3215119307096,3.69188552089016,19.4572657436243,15.2630070748946,8.06650075994274
"MARK4",180.218174298269,149.390789588863,188.286161565398,160.051702084651,212.155798341035,170.40482855379
"CCDC124",896.409879951131,886.479308032028,972.811834754558,772.641746141983,947.832739350956,963.946840813158
"PAFAH1B1",2743.84120782257,2579.10514101528,2311.12033607724,2978.21696624184,2443.60743269063,2485.49054665736
"NOS2",1.56033051340493,4.22804121477915,3.69188552089016,5.02122986932239,12.9735560136604,11.0914385449213
"KIAA0100",5904.29066272425,5961.5381128386,6307.58641244085,5286.09974492915,5970.12521734503,6045.84231957709
"AC005747.1",26.5256187278838,18.3215119307096,42.4566834902369,20.7125732109549,22.8945106123419,25.2078148748211
"TRAPPC6A",400.224776688364,467.903227768892,409.799292818808,323.869326571294,378.522575457387,335.768094132617
"MATK",1.56033051340493,4.22804121477915,5.53782828133525,3.76592240199179,3.05260141497892,2.01662518998569
"CEACAM7",4.68099154021479,7.04673535796524,5.53782828133525,6.27653733665299,1.52630070748946,5.04156297496422
"SCN4A",3.90082628351232,1.40934707159305,1.84594276044508,2.5106149346612,3.81575176872366,4.03325037997137
"ST7L",127.947102099204,146.572095445677,114.448451147595,140.594436341027,137.367063674052,124.02244918412
"PAX6",28.0859492412887,43.6897592193845,20.3053703648959,31.3826866832649,42.7364198097049,34.2826282297567
"RPUSD1",630.373527415591,549.645357921289,585.163855061091,453.793649440011,545.652502927483,611.037432565663
"RHBDF1",555.477662772155,555.282746207661,555.62877089397,444.378843435032,523.521142668886,536.422300536193
"LUC7L",834.776824671637,828.696078096713,910.049780899425,889.385340603728,877.622906806441,909.497960683544
"CACNA2D2",40.5685933485281,40.8710650761984,29.5350841671213,32.0103404169302,39.683818394726,39.3241912047209
"BAIAP3",16.3834703907517,26.7775943602679,22.151313125341,18.2019582762937,23.6576609660867,23.1911896848354
"TSR3",1146.84292735262,1057.01030369479,1081.72245762082,873.066343528431,1022.62147401794,1042.5952232226
"PIGQ",885.487566357297,859.70171367176,839.903956002512,634.557924735617,793.67636789452,820.766452324174
"CRAMP1",610.869395998029,663.802470720326,631.312424072218,498.357064530247,546.415653281227,576.754804335906
"TEAD3",120.145449532179,171.940342734352,125.524107710266,131.179630336047,122.867206952902,147.213638868955
"SELE",1.56033051340493,1.40934707159305,1.84594276044508,1.2553074673306,3.05260141497892,5.04156297496422
"DNAJC11",956.482604717221,1054.1916095516,1159.25205355951,938.969985563287,1077.56829948756,1154.51792126681
"MYLIP",107.66280542494,109.929071584258,105.21873734537,114.86063326075,92.3411928031125,97.8063217143058
"NOX1",6.24132205361971,5.63738828637219,5.53782828133525,1.8829612009959,3.05260141497892,4.03325037997137
"E2F2",280.859492412887,270.594637745865,247.356329899641,220.934114250185,260.234270626953,315.60184223276
"PSMB1",2478.58502054373,2525.54995229474,2401.57153133905,2734.68731757971,2568.00094035102,2564.1389290668
"SYN1",2.34049577010739,0,0,0.627653733665299,1.52630070748946,1.00831259499284
"JARID2",373.69915796048,383.342403473309,413.491178339698,351.486090852567,393.022432178537,406.349975782116
"CDKL5",485.262789668933,425.622815621101,535.323400529074,533.505673615504,439.574603756965,450.715729961801
"CAMK1G",3.90082628351232,4.22804121477915,0,1.2553074673306,1.52630070748946,2.01662518998569
"CDK11A",524.271052504056,531.323845990579,596.239511623761,453.165995706346,562.441810709867,582.804679905863
