"","BM_Series1_NHBE_Mock_1","BM_Series1_NHBE_Mock_2","BM_Series1_NHBE_Mock_3","BM_Series1_NHBE_SARS.CoV.2_1","BM_Series1_NHBE_SARS.CoV.2_2","BM_Series1_NHBE_SARS.CoV.2_3"
"TSPAN6",247.910519507228,302.622710381108,274.450997401252,272.676529959021,207.374184570336,252.537225418198
"DPM1",852.192410806098,879.574137896309,1122.3935298346,899.022618577762,934.548134412368,775.716367047442
"SCYL3",202.619174597254,204.208820826276,176.092836482884,161.986057401398,195.095449957618,163.870662817323
"C1orf112",71.5126498578544,61.5086809717699,70.5957767881834,71.543842018951,75.036711522161,73.8114316939218
"FGR",4.76750999052362,1.2301736194354,0.793210975148128,2.69976762335664,1.36430384585747,1.8568913633691
"CFH",1614.99400928988,1687.79820586537,1861.66615867266,1586.11347872203,1714.92993424284,1578.82188170458
"FUCA2",781.871638445874,856.200839127037,828.112258054645,719.488071624545,933.183830566511,824.923988176723
"GCLC",2288.40479545134,2493.56192659555,2604.1116314113,1939.78303738175,2042.36285724864,1812.32597064824
"NFYA",594.746871317822,637.229934867536,916.951887271236,730.287142117971,773.560280601187,736.257425575849
"STPG1",431.459654142388,496.990142251901,453.716677784729,456.260728347272,487.056472971118,454.474161184588
"NIPAL3",2203.78149311955,2055.62011807655,2179.74375970705,2219.20898639916,2429.82514947216,2230.59075024713
"LAS1L",773.528495962458,695.048094981,729.754097136277,801.830984136922,903.169145957646,875.524277828531
"ENPP4",26.2213049478799,29.5241668664495,45.2130255834433,25.6477924218881,28.6503807630069,20.4258049970601
"SEMA3F",3749.64660754683,4043.58068708415,3465.53875042217,4221.08667911811,3271.60062236622,3415.75166291746
"CFTR",3.57563249289272,3.69052085830619,1.58642195029626,1.34988381167832,9.5501269210023,5.5706740901073
"ANKIB1",1202.60439510958,1147.75198693323,1352.42471262756,1200.04670858203,1137.82940744513,1253.86589311499
"CYP51A1",2104.85566081618,2161.41504934799,2294.75935110353,2076.12130236126,2332.95957641628,2308.58018750863
"KRIT1",383.784554237152,477.307364340934,525.105665548061,399.565608256783,416.112672986529,388.554517784984
"RAD52",157.32782968728,153.771702429425,135.63907675033,130.938729732797,107.78000382274,149.01553191037
"MYH16",265.788681971692,221.431251498372,212.580541339698,247.028737537133,246.938996100202,300.816400865794
"BAD",145.409054710971,200.51829996797,172.126781607144,260.527575653916,147.344815352607,174.083565315853
"LAP3",789.02290343166,691.357574122693,635.36199109365,865.275523285804,948.191172870943,920.553893390232
"CD99",2898.64607423836,2772.81133820739,2141.66963289994,3501.59860749356,3292.06518005408,3359.58069917555
"HS3ST1",106.077097289151,140.239792615635,159.435406004774,143.087684037902,152.802030736037,132.303509640048
"AOC1",2.38375499526181,2.4603472388708,3.96605487574064,0,0,0.928445681684551
"HECW1",0,1.2301736194354,2.37963292544438,2.69976762335664,2.72860769171494,0
"MAD1L1",246.718642009598,253.415765603692,216.546596215439,356.369326283077,257.853426867062,271.570361892731
"LASP1",5971.30626313084,5412.76392551575,5508.85022240375,5897.64237322258,6094.34527944533,6240.54764944271
"SNX11",214.537949573563,217.740730640065,188.784212085254,224.080712738601,244.210388408487,199.151598721336
"M6PR",2952.28056163175,2663.32588607764,2541.4479643746,2713.26646147342,3071.04795702517,2764.91124005659
"KLHL13",154.944074692018,109.48545212975,151.503296253292,67.494190583916,92.7726615183081,103.98591634867
"CYP26B1",129.914647241769,143.930313473942,130.086599924293,157.936405966364,109.144307668598,134.62462384426
"ICA1",219.305459564087,180.835522057003,210.200908414254,233.529899420349,218.288615337196,232.111420421138
"DBNDD1",294.393741914834,303.852884000543,251.447879121956,468.409682652377,332.890138389223,344.917570745811
"ALS2",1016.67150547916,847.589623790989,917.745098246384,865.275523285804,990.484592092525,1000.86444485595
"CASP10",154.944074692018,143.930313473942,147.537241377552,139.038032602867,152.802030736037,177.333125201749
"CFLAR",3545.83555545195,3761.87092823345,3660.66865030861,3799.92292987447,4144.755083715,4062.87830305159
"TFPI",147.792809706232,204.208820826276,240.342925469883,152.53687071965,196.459753803476,165.26333133985
"NDUFAF7",319.423169365083,356.750349636265,312.525124208362,317.222695744405,364.269126843945,326.812879952962
"RBM5",2133.46072075932,1959.66657576059,1761.72157580399,1679.25546172783,2182.88615337196,1834.14444416783
"MTMR7",5.95938748815453,3.69052085830619,21.4166963289994,4.04965143503496,9.5501269210023,1.39266852252683
"SLC7A2",4.76750999052362,22.1431251498372,5.55247682603689,22.9480247985315,10.9144307668598,17.6404679520065
"ARF5",1544.67323692965,1439.30313473942,1495.99589912937,1661.70697217601,1413.41878430834,1505.4746728515
"SARM1",14.3025299715709,22.1431251498372,15.8642195029626,16.1986057401398,39.5648115298667,14.8551309069528
"POLDIP2",1203.79627260722,1093.62434767807,1086.69903595293,1285.08938871776,1214.23042281315,1344.85356992007
"PLXND1",8.34314248341634,1.2301736194354,14.2777975526663,20.2482571751748,1.36430384585747,7.89178829431868
"AK2",3632.842612779,2917.97182530076,2757.20134961489,3296.41626811846,3541.732783846,3391.14785235282
"FKBP4",2370.64434278787,2042.08820826276,2046.48431588217,2348.79783232028,2631.74211865906,2743.092766537
"KDM1A",1643.59906923302,1506.96268380836,1683.19368926433,1542.91719674832,1721.75145347213,1742.6925445219
"RBM6",1425.48548716656,1331.0478562291,1372.25498700626,1271.59055060098,1616.7000573411,1522.18669512182
"CAMKK1",51.250732398129,31.9845141053203,44.4198146082951,39.1466305386713,42.2934192215816,37.6020501082243
"RECQL",735.388416038269,767.628338527688,1173.95224321923,782.932610773426,788.567622905619,726.508745918161
"VPS50",257.445539488276,303.852884000543,396.605487574064,301.024090004266,296.053934551071,274.819921778627
"HSPB6",14.3025299715709,14.7620834332248,17.4506414532588,21.5981409868531,4.09291153757242,15.3193537477951
"ARHGAP33",19.0700399620945,23.3732987692726,15.8642195029626,29.6974438569231,8.18582307514483,23.2111420421138
"NDUFAB1",330.150066843761,356.750349636265,361.704204667546,283.475600452447,372.45494991909,337.025782451492
"PDK4",33.3725699336654,41.8259030608035,42.0401816828508,20.2482571751748,16.3716461502897,8.35601113516095
"ZMYND10",0,2.4603472388708,0.793210975148128,2.69976762335664,0,2.32111420421138
"SLC25A13",387.360186730044,376.433127547232,402.157964400101,427.913168302028,410.655457603099,434.51257902837
"ST7",400.470839203984,318.614967433768,302.213381531437,275.376297582377,309.696973009646,349.095576313391
"CDC27",1252.66325001008,1331.0478562291,1626.87571002881,1310.73718113965,1373.85397277847,1319.32131367375
"HCCS",345.644474312963,345.678787061347,412.469707077026,360.418977718112,343.804569156083,371.37827267382
"DVL2",319.423169365083,376.433127547232,354.565305891213,323.972114802797,281.046592246639,305.922852115059
"PRSS22",492.245406521564,568.340212179154,487.824749716098,741.086212611398,570.279007568423,534.320489809459
"UPF1",1653.13408921407,1550.0187604886,1662.57020391048,1860.13989249273,1518.47018043937,1541.21983159635
"SKAP2",626.927563753856,572.03073303746,677.402172776501,591.249109515104,446.127357595393,605.346584458327
"SLC25A5",2119.15819078775,2060.54081255429,2401.04962177338,2259.70550074951,2200.6221033681,2296.51039364674
"MCUB",60.7857523791762,83.651806121607,121.361279197664,72.8937258306293,72.308103830446,118.841047255622
"HOXA11",0,0,0,2.69976762335664,2.72860769171494,0.928445681684551
"POLR2J",1339.67030733714,1198.18910533008,1029.58784574227,1209.49589526378,1076.43573438155,1187.94624971538
"DHX33",556.606791393633,489.609100535288,544.935939926764,512.955848437762,566.186096030851,587.241893665478
"THSD7A",11.9187749763091,12.301736194354,11.8981646272219,8.09930287006992,2.72860769171494,0.928445681684551
"LIG3",572.101198862835,424.409898705212,487.824749716098,622.296437183706,547.085842188846,657.339542632662
"RPAP3",978.531425554974,918.939693718242,1001.82546161209,809.930287006992,919.540792107936,954.442160771718
"ACSM3",10.7268974786782,18.452604291531,12.69137560237,8.09930287006992,4.09291153757242,12.5340167027414
"REXO5",30.9888149384036,49.2069447774159,33.3148609562214,47.2459334087412,21.8288615337196,28.3175932913788
"CIAPIN1",579.25246384862,525.284135498915,594.115020385948,581.799922833356,618.029642173435,689.835141491621
"SPPL2B",126.339014748876,184.52604291531,185.611368184662,184.93408219993,130.973169202317,130.446618276679
"FAM214B",1038.12530043652,979.218201070576,1016.8964701399,1286.43927252944,1122.8220651407,1257.11545300088
"COPZ2",61.9776298768071,57.8181601134637,58.6976121609614,62.0946553372028,53.2078499884414,62.2058606728649
"MSL3",778.296005952982,761.477470430511,730.547308111426,711.388768754475,796.753445980764,783.608155341761
"CREBBP",1234.78508754562,1287.99177954886,1189.81646272219,1189.2476380886,1088.71446899426,1159.16443358316
"GCFC2",81.0476698389016,72.5802435466885,122.154490172812,63.4445391488811,94.1369653641656,68.2407576038145
"WDR54",265.788681971692,193.137258251357,237.17008156929,203.832455563426,233.295957641628,219.577403718396
"CROT",470.791611564208,394.885731838763,479.892639964617,423.863516866993,462.499003745683,412.22988266794
"ABCB4",1.19187749763091,0,3.17284390059251,1.34988381167832,2.72860769171494,1.39266852252683
"KMT2E",2200.20586062665,2117.12879904832,2019.51514272713,1924.93431545329,2057.37019955307,1868.03271154932
"RHBDD2",446.95406161159,547.427260648752,425.954293654545,503.506661756014,302.875453780359,343.989125064126
"SOX8",0,1.2301736194354,0,0,0,2.32111420421138
"IBTK",722.277763564329,733.183477183497,1068.45518352453,789.682029831818,833.589649818915,711.653615011208
"ZNF195",308.696271886405,313.694272956026,390.259799772879,329.37165004951,388.826596069379,342.132233700757
"MYCBP2",1308.68149239873,1286.76160592943,1338.94012605004,1255.39194486084,1379.3111881619,1285.8972691331
"FBXL3",210.96231708067,259.566633700869,375.982002220213,217.33129368021,222.381526874768,227.004969171873
"ITGAL",0,2.4603472388708,2.37963292544438,2.69976762335664,1.36430384585747,0
"PDK2",266.980559469323,259.566633700869,280.796685202437,237.579550855384,221.01722302891,246.038105646406
"ITGA3",15480.1049392302,15177.8821165939,12588.2581756008,16927.5429984461,14760.403308332,14747.4312078774
"ZFX",549.455526407848,532.665177215527,619.497771590688,541.303408483007,559.364576801564,564.030751623364
"LAMP2",1842.64261133738,2002.72265244083,2468.47255466097,1834.49210007084,1927.76133419661,1779.36614894844
"ITGA2B",2.38375499526181,2.4603472388708,0.793210975148128,0,2.72860769171494,1.8568913633691
"GDE1",1580.42956185858,1395.01688443974,1465.06067109859,1499.72091477461,1559.39929581509,1477.62130240096
"REX1BD",133.490279734661,140.239792615635,124.534123098256,164.685825024755,141.887599969177,112.806150324673
"CRLF1",40.5238349194508,39.3655558219327,19.8302743787032,39.1466305386713,34.1075961464368,39.9231643124357
"OSBPL7",302.73688439825,325.99600915038,305.386225432029,311.823160497692,266.039249942207,229.790306216926
"TMEM98",455.297204095006,398.576252697069,455.303099735025,410.364678750209,392.919507606952,422.44278516647
"YBX2",11.9187749763091,6.15086809717699,17.4506414532588,9.44918668174824,13.6430384585747,6.96334261263413
"MAP3K14",102.501464796258,107.02510489088,90.4260511668866,99.8914020641957,54.5721538342989,88.2023397600323
"TMEM132A",1446.93928212392,1780.06122732302,1435.71186501811,2714.6163452851,1832.26006498658,1841.10778678046
"AP2B1",6254.97310756699,5534.55111383985,5711.11902106652,5550.72223362125,6301.71946401566,6239.61920376102
"ZNF263",563.758056379418,558.49882322367,545.729150901912,553.452362788111,533.442803730272,535.248935491143
"CX3CL1",27.4131824455108,22.1431251498372,26.9691731550363,21.5981409868531,12.2787346127172,25.0680334054829
"SPATA20",550.647403905479,572.03073303746,464.028420461655,638.495042923846,492.513688354547,473.507297659121
"CACNA1G",4.76750999052362,0,1.58642195029626,0,0,0
"TNFRSF12A",2839.05219935682,3045.90988172204,2472.43860953671,3230.27196134622,3245.67884929493,3158.57220909084
"MAP3K9",1239.55259753614,985.369069167753,1205.68068222515,1247.29264199077,1297.45295741046,1386.63362559588
"RALA",1419.52609967841,1452.8350445532,1787.10432700873,1490.27172809287,1687.64385732569,1582.53566443132
"BAIAP2L1",1960.63848360284,1781.29140094246,1788.69074895903,1791.29581809713,1905.93247266289,1982.23153039652
"KDM7A",313.463781876928,282.939932470141,354.565305891213,348.270023413007,347.897480693655,339.811119496545
"ETV1",23.8375499526181,11.0715625749186,13.4845865775182,12.1489543051049,13.6430384585747,10.2129024985301
"AGK",553.03115890074,500.680663110207,496.550070442728,475.159101710769,558.000272955706,516.21579901661
"ALDH3B1",119.187749763091,137.779445376765,84.0803633657015,121.489543051049,90.0440538265932,84.4885570332941
"TTC22",208.578562085409,170.99413310152,162.608249905366,210.581874621818,166.445069194612,166.191777021535
"PHTF2",185.932889630421,177.145001198697,235.583659618994,121.489543051049,130.973169202317,148.551309069528
"CCL26",19.0700399620945,23.3732987692726,26.1759621798882,13.4988381167832,23.193165379577,25.9964790871674
"FARP2",587.595606332037,560.959170462541,553.661260653393,569.650968528251,628.944072940295,577.957436848633
"GGCT",706.783356095127,639.690282106407,901.087667768273,792.381797455174,642.587111398869,636.913737635602
"DBF4",152.560319696756,182.065695676439,206.234853538513,175.484895518182,177.359499961471,160.621102931427
"TBXA2R",0,3.69052085830619,1.58642195029626,4.04965143503496,0,2.32111420421138
"IFRD1",353.987616796379,389.965037361021,448.164200958692,371.218048211538,376.547861456662,354.202027562656
"COX10",210.96231708067,186.98639015418,191.957055985847,176.83477932986,214.195703799623,143.909080661105
"GTF2IRD1",491.053529023933,399.806426316504,403.744386350397,507.556313191049,421.569888369959,411.765659827098
"PAF1",1854.56138631369,1851.41129725027,1601.49295882407,2085.57048904301,2101.02792262051,2093.64501219866
