,Xiong_PBMC_N_1,Xiong_PBMC_N_2,Xiong_PBMC_N_3,Xiong_PBMC_COVID_1,Xiong_PBMC_COVID_2,Xiong_PBMC_COVID_3
TSPAN6,6.502846646,20.69763642,5.575342177,9.386700596,6.155913408,3.554253676
DPM1,394.0725068,440.2951747,356.8218993,556.9442354,458.2735537,521.8829148
SCYL3,699.0560145,703.7196382,661.6072716,421.3585601,580.0238411,708.4812328
C1orf112,314.7377777,156.1730748,206.2876605,258.6557498,268.8082188,281.9707917
FGR,13153.9582,4184.685763,11715.65236,22781.52235,13923.30815,22138.85377
CFH,413.5810467,165.5810913,410.7168737,105.33964,136.7980757,63.97656617
FUCA2,706.2091458,361.2678357,823.2921947,2369.620417,1458.267487,1944.769137
GCLC,943.5630484,829.78706,1027.721408,1994.152393,1088.228692,1194.821611
NFYA,3172.088594,1527.861888,1804.552418,2203.788707,1659.360659,1820.370258
STPG1,55.27419649,107.2513887,55.75342177,50.06240318,86.18278771,65.75369301
NIPAL3,1367.54865,2227.81832,1362.241938,683.14321,1327.625325,905.7423118
LAS1L,790.7461522,1247.502995,918.0730117,846.8889871,967.8463858,1028.364064
ENPP4,1172.46325,780.8653739,1234.009068,1523.774397,474.0053324,743.431394
ANKIB1,1695.942405,1753.654286,1858.447392,1818.933982,1983.572098,1875.46119
CYP51A1,843.41921,496.743274,631.8721133,883.3928228,671.6785519,793.1909454
KRIT1,1059.313719,948.3280686,1009.136934,858.3616212,1041.033356,1223.848016
RAD52,287.4258218,641.6267289,386.5570576,240.9253153,353.6230258,297.3725576
BAD,297.8303764,391.3734886,343.8127676,300.3744191,326.2634106,221.5484792
LAP3,955.2681723,826.0238534,1237.725963,5793.680201,4333.763039,2053.766249
CD99,6528.858033,5451.004791,7599.191387,11493.4934,8012.263296,7318.208319
HS3ST1,26.66167125,15.05282649,26.01826349,44.84756951,25.30764401,29.61878064
AOC1,52.67305784,11.28961986,24.1598161,0,2.735961515,0
WNT16,23.41024793,62.09290925,33.45205306,17.73043446,24.62365363,36.72728799
MAD1L1,468.8552432,1268.200631,908.7807748,561.1161023,662.7866769,444.8740851
LASP1,15886.45436,8407.003592,11117.2323,15604.86826,13714.00709,12230.1869
SNX11,847.9712027,953.9728785,748.9542991,1535.247031,1135.424029,1239.842157
TMEM176A,366.7605509,111.0145953,624.4383238,25.03120159,1588.225659,1424.663349
M6PR,3703.371165,3970.182986,4226.10937,6355.83927,5872.057401,5296.430353
KLHL13,7.803415976,22.57923973,13.00913175,12.51560079,8.891874923,14.21701471
CYP26B1,0.650284665,1.881603311,0,2.085933466,0.683990379,1.184751225
ICA1,61.12675848,75.26413243,40.88584263,268.0424504,93.70668188,164.0880447
DBNDD1,42.2685032,250.2532403,40.88584263,17.73043446,60.8751437,44.42817095
ALS2,630.12584,460.9928111,486.9132168,924.0685253,681.2544172,548.5398174
CASP10,1708.948099,1827.036815,1603.840099,2060.902264,1956.212483,2125.443698
CFLAR,24765.44117,9846.430125,15203.95812,23605.46607,12234.5359,15667.74258
TFPI,16.25711662,5.644809932,55.75342177,178.3473113,10.94384606,49.75955147
NDUFAF7,409.0290541,291.6485132,341.9543202,369.2102234,388.5065351,465.6072316
RBM5,6971.70189,5432.188758,5787.205179,6792.842331,5525.274279,6269.703485
MTMR7,117.7015243,80.90894236,148.6757914,131.4138083,99.86259529,111.9589908
ARF5,2924.330137,2141.264568,2698.465613,2926.564652,2947.314542,2938.775415
SARM1,1114.587915,1311.477508,1167.104962,420.3155934,891.2394634,565.1263345
POLDIP2,1301.869899,1093.211524,1103.917751,3083.009662,1936.376762,2026.516971
PLXND1,3767.749347,799.681407,4975.063669,6730.264327,4805.03241,7122.131992
AK2,2359.883048,2485.597973,2233.853765,5335.817805,3735.955448,4973.585644
CD38,785.5438749,799.681407,769.3972204,951.1856604,2569.751853,3154.400138
FKBP4,760.8330576,1074.39549,877.1871691,1050.2675,1038.981385,1169.349459
KDM1A,1211.48033,1655.810913,1295.337832,1749.055211,1528.718496,1967.27941
RBM6,3756.694508,4201.620193,4270.712107,3888.17998,3274.945933,5047.04022
CAMKK1,587.8573368,246.4900337,282.4840036,407.7999926,291.3799013,549.132193
RECQL,1573.038604,1228.686962,1453.305861,1299.536549,1634.053015,1405.707329
VPS50,546.889403,543.7833568,509.2145855,579.8895035,569.7639854,713.2202377
HSPB6,0,1.881603311,3.716894784,3.128900199,1.367980757,0.592375613
ARHGAP33,399.9250687,675.4955885,475.7625324,148.1012761,339.9432182,194.8915766
NDUFAB1,314.7377777,269.0692734,239.7397136,571.5457696,654.5787924,605.4078762
PDK4,277.6715518,41.39527284,367.9725837,2042.128863,379.6146602,1383.197056
SLC22A16,22.75996326,20.69763642,46.46118481,163.7457771,113.5424029,203.1848352
