Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	29/70	7.094550769828787e-20	1.884799493614615e-16	0	0	13.81052975308332	608.9390549947174	COX7B;NDUFA13;COX15;NDUFB5;NDUFB4;NDUFB3;NDUFB1;COX6A1;COX5B;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV3;NDUFV2;COX8A;NDUFA9;NDUFA7;NDUFA6;NDUFA4;NDUFC1;SDHD;COX6B1;NDUFS7;NDUFS6;NDUFS4;NDUFAB1;NDUFS2;UQCRC2
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	29/71	1.142995447916686e-19	1.884799493614615e-16	0	0	13.4809965180717	587.979923234024	COX7B;NDUFA13;COX15;NDUFB5;NDUFB4;NDUFB3;NDUFB1;COX6A1;COX5B;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV3;NDUFV2;COX8A;NDUFA9;NDUFA7;NDUFA6;NDUFA4;NDUFC1;SDHD;COX6B1;NDUFS7;NDUFS6;NDUFS4;NDUFAB1;NDUFS2;UQCRC2
GO_Biological_Process_2021	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	17/39	1.2012708476988234e-12	1.313648985863304e-09	0	0	14.918431517617682	409.4757537687367	NDUFA9;NDUFA13;NDUFA7;NDUFA6;NDUFB5;NDUFA4;NDUFB4;NDUFB3;NDUFB1;NDUFC1;NDUFS7;NDUFS6;NDUFAB1;NDUFS4;NDUFS2;NDUFV3;NDUFV2
GO_Biological_Process_2021	anaphase-promoting complex-dependent catabolic process (GO:0031145)	24/84	1.6496594790481488e-12	1.313648985863304e-09	0	0	7.762295081967213	210.594575882702	ANAPC15;PSMD14;UBE2C;PLK1;UBE2E1;BUB1B;AURKA;CDC20;PSMD8;PSMA5;PSMB6;PSMB7;CCNB1;PSMA4;PSMB5;PTTG1;PSMA1;PSMB2;PSMD5;PSMA2;PSMD2;PSMD3;PSMB1;CDK1
GO_Biological_Process_2021	mitochondrial respiratory chain complex I assembly (GO:0032981)	20/58	2.3899011264947925e-12	1.313648985863304e-09	0	0	10.183673469387756	272.5127508394624	NDUFA9;NDUFA13;NDUFA7;NDUFA6;TIMMDC1;NDUFB5;NDUFB4;NDUFB3;NDUFB1;NDUFC1;OXA1L;NDUFS7;NDUFS6;NDUFS4;NDUFAB1;TMEM126A;NDUFS2;NDUFAF3;NDUFV3;NDUFV2
GO_Biological_Process_2021	NADH dehydrogenase complex assembly (GO:0010257)	20/58	2.3899011264947925e-12	1.313648985863304e-09	0	0	10.183673469387756	272.5127508394624	NDUFA9;NDUFA13;NDUFA7;NDUFA6;TIMMDC1;NDUFB5;NDUFB4;NDUFB3;NDUFB1;NDUFC1;OXA1L;NDUFS7;NDUFS6;NDUFS4;NDUFAB1;TMEM126A;NDUFS2;NDUFAF3;NDUFV3;NDUFV2
GO_Biological_Process_2021	microtubule cytoskeleton organization involved in mitosis (GO:1902850)	28/128	2.865278454765492e-11	1.3499554776880848e-08	0	0	5.444444444444445	132.1680837549355	CEP126;BUB1B;CDCA8;TTK;KIF11;PMF1;SKA1;AURKA;CDC20;PPP1CC;CCNB1;NUSAP1;RCC1;BUB1;DLGAP5;CENPU;RCC2;PLK1;KNL1;CKAP5;CENPF;ESPL1;KIF4A;KIF2C;EFHC2;RAN;SPC24;SPC25
GO_Biological_Process_2021	regulation of cell cycle phase transition (GO:1901987)	23/95	1.9369126304600568e-10	7.984922319071585e-08	0	0	6.188786534743546	138.41069863272642	ANAPC15;PSMD14;UBE2C;PLK1;UBE2E1;BUB1B;CDC20;PSMD8;DDB1;PSMA5;PSMB6;PSMB7;CCNB1;PSMA4;PSMB5;PSMA1;PSMB2;PSMD5;PSMA2;PSMD2;PSMD3;PSMB1;CDK1
GO_Biological_Process_2021	mitotic spindle organization (GO:0007052)	29/157	9.202846436029355e-10	3.044270289478064e-07	0	0	4.403385684860968	91.61833133739026	CEP126;BUB1B;CDCA8;TTK;KIF11;PMF1;SKA1;AURKA;CDC20;PPP1CC;CCNB1;RCC1;BUB1;DLGAP5;CENPU;RCC2;PLK1;KIF23;KNL1;CKAP5;TPX2;CENPF;PRC1;KIF4A;KIF2C;EFHC2;RAN;SPC24;SPC25
GO_Biological_Process_2021	inner mitochondrial membrane organization (GO:0007007)	16/49	9.546580510613084e-10	3.044270289478064e-07	0	0	9.345651638334566	194.10608084929152	TIMM8B;ATP5PF;NDUFA13;ATP5PD;ATP5PB;ATP5MC2;TIMM13;ATP5MC3;IMMT;ATP5F1C;ATP5F1A;ATP5F1B;OPA1;ROMO1;ATP5MG;ATP5MF
GO_Biological_Process_2021	regulation of mitotic cell cycle phase transition (GO:1901990)	32/188	1.087113796559101e-09	3.044270289478064e-07	0	0	3.993218902309812	82.41899809240091	ANAPC15;PSMD14;KIF14;BUB1B;HMMR;AURKA;CDC20;PSMD8;PSMB6;PSMB7;CCNB1;PSMB5;PSMB2;PSMD5;PSMD2;PSMD3;PSMB1;CEP78;UBE2C;PLK1;UBE2E1;CDC6;CKAP5;DDB1;PSMA5;ANLN;TPX2;CENPF;PSMA4;PSMA1;PSMA2;CDK1
GO_Biological_Process_2021	regulation of mitotic cell cycle (GO:0007346)	31/178	1.107678698415305e-09	3.044270289478064e-07	0	0	4.102995584198592	84.60786896320722	CDKN1C;ANAPC15;PSMD14;BUB1B;MKI67;PKMYT1;CDC20;PSMD8;PSMB6;SLC9A3R1;PSMB7;CCNB1;PSMB5;PSMB2;PSMD5;PSMD2;PSMD3;PSMB1;RCC1;DLGAP5;UBE2C;SPHK1;PLK1;UBE2E1;DDB1;PSMA5;PSMA4;PSMA1;PSMA2;CDK1;CKS2
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled proton transport (GO:0042776)	10/17	1.3181416841696835e-09	3.344024057224321e-07	0	0	27.40692640692641	560.3906001989175	ATP5PF;ATP5F1A;ATP5PD;ATP5F1B;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5MG;ATP5MF
GO_Biological_Process_2021	mitochondrial respiratory chain complex assembly (GO:0033108)	21/90	2.449154167070552e-09	5.769507459284773e-07	0	0	5.885197850512946	116.68889638754696	NDUFA9;NDUFA13;NDUFA7;NDUFA6;TIMMDC1;NDUFB5;NDUFB4;NDUFB3;NDUFB1;NDUFC1;OXA1L;NDUFS7;NDUFS6;NDUFS4;NDUFAB1;TMEM126A;UQCRFS1;NDUFS2;NDUFAF3;NDUFV3;NDUFV2
GO_Biological_Process_2021	ATP synthesis coupled proton transport (GO:0015986)	10/19	5.711669859198167e-09	1.2558058130423704e-06	0	0	21.31425364758698	404.560613945833	ATP5PF;ATP5F1A;ATP5PD;ATP5F1B;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5MG;ATP5MF
GO_Biological_Process_2021	regulation of G2/M transition of mitotic cell cycle (GO:0010389)	26/149	2.313735974522433e-08	4.769188277484365e-06	0	0	4.096776347640273	72.0287729389533	PSMD14;KIF14;HMMR;AURKA;PSMD8;PSMB6;PSMB7;CCNB1;PSMB5;PSMB2;PSMD5;PSMD2;PSMD3;PSMB1;CEP78;RCC2;PLK1;CKAP5;CDC25A;PSMA5;TPX2;CENPF;PSMA4;PSMA1;PSMA2;CDK1
GO_Biological_Process_2021	regulation of cellular amino acid metabolic process (GO:0006521)	15/54	3.796040354374316e-08	7.364318287486172e-06	0	0	7.403748535728231	126.50579470925746	PSMD14;PSMD8;PSMA5;PSMB6;BCKDK;PSMB7;PSMA4;PSMB5;PSMA1;PSMB2;PSMD5;PSMA2;PSMD2;PSMD3;PSMB1
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	18/78	4.044366877858708e-08	7.410178868432232e-06	0	0	5.786150712830957	98.4997018651895	PSMD14;CYBB;IFI30;HLA-F;PSMD8;PSMA5;VAMP8;PSMB6;PSMB7;PSMA4;PSMB5;PSMA1;PSMB2;PSMD5;PSMA2;PSMD2;PSMD3;PSMB1
GO_Biological_Process_2021	cristae formation (GO:0042407)	11/28	4.5279600378865976e-08	7.859585371026314e-06	0	0	12.419734729078687	210.0227967799414	ATP5PF;ATP5F1A;ATP5F1B;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;IMMT;ATP5F1C;ATP5MG;ATP5MF
GO_Biological_Process_2021	pre-replicative complex assembly (GO:0036388)	16/64	6.864734582782777e-08	1.0780902216198855e-05	0	0	6.420054200542006	105.8941932207386	PSMD14;CDC6;PSMD8;PSMA5;PSMB6;PSMB7;PSMA4;PSMB5;PSMA1;ORC1;PSMB2;PSMD5;PSMA2;PSMD2;PSMD3;PSMB1
GO_Biological_Process_2021	regulation of cellular ketone metabolic process (GO:0010565)	16/64	6.864734582782777e-08	1.0780902216198855e-05	0	0	6.420054200542006	105.8941932207386	PSMD14;CAV1;PSMD8;PSMA5;PSMB6;PSMB7;PSMA4;PSMB5;PSMA1;PSMB2;PSMD5;PSMA2;PSMD2;PSMD3;PSMB1;CES1
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	17/73	8.321867229174259e-08	1.2049507490950049e-05	0	0	5.850312454585089	95.37058898344462	PSMD14;CYBB;HLA-F;PSMD8;PSMA5;VAMP8;PSMB6;PSMB7;PSMA4;PSMB5;PSMA1;PSMB2;PSMD5;PSMA2;PSMD2;PSMD3;PSMB1
GO_Biological_Process_2021	negative regulation of cell cycle G2/M phase transition (GO:1902750)	15/57	8.403234453967588e-08	1.2049507490950049e-05	0	0	6.873821609862219	111.9887419923334	PSMD14;AURKA;PSMD8;PSMA5;PSMB6;PSMB7;PSMA4;PSMB5;PSMA1;PSMB2;PSMD5;PSMA2;PSMD2;PSMD3;PSMB1
GO_Biological_Process_2021	regulation of cellular amine metabolic process (GO:0033238)	14/51	1.2716988487685554e-07	1.747526168016123e-05	0	0	7.277068143193904	115.5434102625235	PSMD14;PSMD8;PSMA5;PSMB6;PSMB7;PSMA4;PSMB5;PSMA1;PSMB2;PSMD5;PSMA2;PSMD2;PSMD3;PSMB1
GO_Biological_Process_2021	mitochondrial translation (GO:0032543)	20/105	2.1799321480697175e-07	2.8757664897335712e-05	0	0	4.54141656662665	69.65988905805034	GFM1;MRPS15;NDUFA7;MRPL18;MRPL16;MRPL28;MRPL36;MRPL47;MRPL58;ERAL1;MRPL37;MRPS7;MRPL13;MRPL57;MRPL33;OXA1L;MRPL3;MRPL51;CHCHD1;MRRF
GO_Biological_Process_2021	mitochondrial translational elongation (GO:0070125)	18/89	3.427548633526613e-07	4.186687182729915e-05	0	0	4.886864978055707	72.74709538927564	GFM1;MRPS15;MRPL18;MRPL16;MRPL28;MRPL36;MRPL47;MRPL58;MRPL37;ERAL1;MRPS7;MRPL13;MRPL57;MRPL33;MRPL3;OXA1L;MRPL51;CHCHD1
GO_Biological_Process_2021	mitochondrial translational termination (GO:0070126)	18/89	3.427548633526613e-07	4.186687182729915e-05	0	0	4.886864978055707	72.74709538927564	MRPS15;MRPL18;MRPL16;MRPL28;MRPL36;MRPL47;MRPL58;MRPL37;ERAL1;MRPS7;MRPL13;MRPL57;MRPL33;MRPL3;OXA1L;MRPL51;CHCHD1;MRRF
GO_Biological_Process_2021	energy coupled proton transport, down electrochemical gradient (GO:0015985)	7/12	4.85779606668839e-07	5.721789795692254e-05	0	0	26.780463242698893	389.3212736229914	ATP5F1A;ATP5PD;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5MG
GO_Biological_Process_2021	proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	9/22	5.194268763106381e-07	5.90713737266374e-05	0	0	13.264224171388651	191.9404837104472	PSMA5;PSMB6;PSMB7;PSMA4;PSMB5;PSMA1;PSMB2;PSMA2;PSMB1
GO_Biological_Process_2021	mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	8/17	6.165882295590909e-07	6.778359936952939e-05	0	0	17.017025089605735	243.32753783888407	COX8A;COX7B;COX15;NDUFA4;COX5B;COX6A1;COX5A;COX6B1
GO_Biological_Process_2021	negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	15/66	6.70155334977096e-07	7.129588047595041e-05	0	0	5.658106897581368	80.43426882166887	PSMD14;AURKA;PSMD8;PSMA5;PSMB6;PSMB7;PSMA4;PSMB5;PSMA1;PSMB2;PSMD5;PSMA2;PSMD2;PSMD3;PSMB1
GO_Biological_Process_2021	negative regulation of canonical Wnt signaling pathway (GO:0090090)	25/165	7.068505407568873e-07	7.284978385675669e-05	0	0	3.4542124542124544	48.92009940231264	DRAXIN;PSMD14;CTNND1;PTPRO;JADE1;GLI1;GLI3;PSMD8;PSMB6;SLC9A3R1;PSMB7;PSMB5;PSMB2;PSMD5;PSMD2;PSMD3;PSMB1;CAV1;SOX13;AXIN1;TMEM64;PSMA5;PSMA4;PSMA1;PSMA2
GO_Biological_Process_2021	translational termination (GO:0006415)	18/96	1.1108207362578483e-06	0.00011101475115692073	0	0	4.446655177816074	60.96547190329108	MRPS15;MRPL18;MRPL16;MRPL28;MRPL36;MRPL47;MRPL58;MRPL37;ERAL1;MRPS7;MRPL13;MRPL57;MRPL33;MRPL3;OXA1L;MRPL51;CHCHD1;MRRF
GO_Biological_Process_2021	negative regulation of Wnt signaling pathway (GO:0030178)	26/191	3.377783194525756e-06	0.0003276449698689983	0	0	3.047165702196503	38.38908000761211	DRAXIN;PSMD14;CTNND1;PTPRO;JADE1;APCDD1;GLI1;GLI3;PSMD8;PSMB6;SLC9A3R1;PSMB7;PSMB5;PSMB2;PSMD5;PSMD2;PSMD3;PSMB1;CAV1;SOX13;AXIN1;TMEM64;PSMA5;PSMA4;PSMA1;PSMA2
GO_Biological_Process_2021	translational elongation (GO:0006414)	18/104	3.696358023627821e-06	0.00034216662389304365	0	0	4.031307725098281	50.42425227836482	GFM1;MRPS15;MRPL18;MRPL16;MRPL28;MRPL36;MRPL47;MRPL58;ERAL1;MRPL37;MRPS7;MRPL13;MRPL57;MRPL33;OXA1L;MRPL3;MRPL51;CHCHD1
GO_Biological_Process_2021	regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	15/75	3.734990436673612e-06	0.00034216662389304365	0	0	4.807106598984771	60.07809004544775	PSMD14;PSMD8;PSMA5;PSMB6;PSMB7;PSMA4;PSMB5;PSMA1;PSMB2;PSMD5;PSMA2;PSMD2;PSMD3;PSMB1;ELOC
GO_Biological_Process_2021	protein N-linked glycosylation (GO:0006487)	14/67	4.559458750283064e-06	0.0004064079718495552	0	0	5.075930957939455	62.42535538693072	MCFD2;ALG8;RPN2;SRD5A3;ALG14;ALG1;ASGR1;DDOST;TMEM165;TMEM258;DOLPP1;OSTC;MGAT1;MPDU1
GO_Biological_Process_2021	positive regulation of canonical Wnt signaling pathway (GO:0090263)	20/130	7.069231929692641e-06	0.0006135349185296403	0	0	3.504638218923933	41.56416368401328	SEMA5A;PSMD14;CAV1;AXIN1;PSMD8;PSMA5;PSMB6;PSMB7;PSMA4;PSMB5;PSMA1;PSMB2;PSMD5;DAAM2;PSMA2;PSMD2;PSMD3;PSMB1;LGR6;CSNK1G2
GO_Biological_Process_2021	positive regulation of Wnt signaling pathway (GO:0030177)	22/153	7.730787608200907e-06	0.0006537471162011947	0	0	3.240122387174324	38.13721192056248	SEMA5A;PSMD14;CAV1;AXIN1;PSMD8;PSMA5;PSMB6;SKI;PSMB7;DEPDC1B;PSMA4;PSMB5;PSMA1;PSMB2;PSMD5;DAAM2;PSMA2;PSMD2;PSMD3;PSMB1;LGR6;CSNK1G2
GO_Biological_Process_2021	regulation of hematopoietic stem cell differentiation (GO:1902036)	14/71	9.3080301813372e-06	0.0007674470884512523	0	0	4.718728870858688	54.66474252577783	PSMD14;PSMD8;PSMA5;PSMB6;PSMB7;PSMA4;PSMB5;PSMA1;PSMB2;PSMD5;PSMA2;PSMD2;PSMD3;PSMB1
GO_Biological_Process_2021	regulation of stem cell differentiation (GO:2000736)	16/91	1.028864919129578e-05	0.0008276089032413044	0	0	4.102981029810298	47.120559637025295	PSMD14;NSUN2;PSMD8;PSMA5;PSMB6;PSMB7;PSMA4;PSMB5;PSMA1;PSMB2;PSMD5;PSMA2;PSMD2;PSMD3;PSMB1;BMPR1A
