Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	mitochondrial membrane (GO:0031966)	85/469	1.4248162179024656e-25	4.2886968158864216e-23	0	0	4.503529143897996	257.64953458718526	COX7B;MRPS15;NDUFA13;MPV17L2;MRPL36;MRPL37;COX6A1;MRPL33;TOMM22;MRPL3;OPA1;UQCRFS1;MPV17;PLEKHN1;IKBKE;CHCHD1;ABCD1;COX8A;MRPL47;NDUFC1;SDHD;MRPS7;SDHB;COASY;COX6B1;HADHA;QTRT2;OXA1L;MRPL51;NDUFS6;NDUFS4;VDAC2;VDAC1;UQCRC2;SLC25A5;MICU1;SLC25A11;SLC25A6;ABCB7;SHMT2;NDUFB5;COX15;MRPL18;NDUFB4;NDUFB3;MRPL16;TIMM13;ATP5MC2;PSEN2;ETFDH;NDUFB1;ATP5MC3;MRPL58;COX5B;MRPL13;MRPL57;COX5A;UQCRH;SLC25A29;ATP5F1A;ATP5F1B;UCP3;CYC1;NDUFV3;NDUFV2;ATP5MG;ATP5MF;RAB11FIP5;NDUFA9;MOAP1;ATP5PF;NDUFA7;TIMMDC1;NDUFA6;ATP5PD;NDUFA4;ATP5PB;MRPL28;IMMT;ATP5F1C;STING1;NDUFAB1;NDUFAF3;BAX;TOMM6
GO_Cellular_Component_2021	mitochondrial inner membrane (GO:0005743)	67/328	2.348684235035665e-23	3.534769773728676e-21	0	0	5.155835622738827	268.64791825267406	COX7B;MRPS15;NDUFA13;MPV17L2;MRPL36;MRPL37;COX6A1;MRPL33;MRPL3;OPA1;UQCRFS1;MPV17;CHCHD1;COX8A;MRPL47;NDUFC1;SDHD;MRPS7;SDHB;COX6B1;HADHA;MRPL51;NDUFS6;NDUFS4;UQCRC2;MICU1;SLC25A5;SLC25A11;SLC25A6;ABCB7;SHMT2;ATP23;COX15;NDUFB5;MRPL18;NDUFB4;NDUFB3;MRPL16;TIMM13;PSEN2;NDUFB1;MRPL58;COX5B;MRPL13;COX5A;MRPL57;UQCRH;ATP5F1A;SLC25A29;UCP3;CYC1;NDUFV3;NDUFV2;ATP5MG;ATP5MF;ATP5PF;NDUFA7;ATP5PD;TIMMDC1;NDUFA6;ATP5PB;NDUFA4;MRPL28;IMMT;ATP5F1C;NDUFAB1;NDUFAF3
GO_Cellular_Component_2021	organelle inner membrane (GO:0019866)	66/346	2.579783707512154e-21	2.5883829865371945e-19	0	0	4.724380544509025	223.96673080888303	COX7B;MRPS15;NDUFA13;MPV17L2;MRPL36;MRPL37;COX6A1;MRPL33;MRPL3;OPA1;UQCRFS1;MPV17;CHCHD1;COX8A;MRPL47;NDUFC1;SDHD;MRPS7;SDHB;COX6B1;HADHA;MRPL51;NDUFS6;NDUFS4;UQCRC2;MICU1;SLC25A5;SLC25A11;SLC25A6;ABCB7;SHMT2;COX15;NDUFB5;MRPL18;NDUFB4;NDUFB3;MRPL16;TIMM13;PSEN2;NDUFB1;MRPL58;COX5B;MRPL13;COX5A;MRPL57;UQCRH;ATP5F1A;SLC25A29;UCP3;CYC1;NDUFV3;NDUFV2;ATP5MG;ATP5MF;ATP5PF;NDUFA7;ATP5PD;TIMMDC1;NDUFA6;ATP5PB;NDUFA4;MRPL28;IMMT;ATP5F1C;NDUFAB1;NDUFAF3
GO_Cellular_Component_2021	mitochondrial matrix (GO:0005759)	57/348	1.9052220537004694e-15	1.4336795954096036e-13	0	0	3.8861606410775	131.7182198426951	GFM1;ACAA2;MRPL37;TXN2;CA5B;ME2;IDH3A;BCKDHA;MARS2;DARS2;COASY;OXA1L;MRPL51;NDUFS7;MTHFD2;ETHE1;PCCB;NDUFS2;SUCLG1;MRRF;FH;SHMT2;MRPL18;ETFDH;MRPL58;AK4;MRPL13;MRPL57;HSD17B10;PRDX3;HMGCL;ATP5F1A;CCNB1;ATP5F1B;PDSS2;DECR1;NDUFA9;NDUFA7;PTCD1;MTERF2;ATP5PB;MDH2;IDH3G;MRPL28;ERAL1;ATP5F1C;DNAJC15;SUOX;CS;ALDH4A1;BCKDK;GSTZ1;GLUD1;SUCLA2;NDUFAB1;CDK1;ACO2
GO_Cellular_Component_2021	mitochondrial respiratory chain complex I (GO:0005747)	17/42	5.200590939860921e-12	2.608963121496895e-10	0	0	13.126144455747712	341.04675174957583	NDUFA9;NDUFA13;NDUFA7;NDUFA6;NDUFB5;NDUFA4;NDUFB4;NDUFB3;NDUFB1;NDUFC1;NDUFS7;NDUFS6;NDUFAB1;NDUFS4;NDUFS2;NDUFV3;NDUFV2
GO_Cellular_Component_2021	respiratory chain complex I (GO:0045271)	17/42	5.200590939860921e-12	2.608963121496895e-10	0	0	13.126144455747712	341.04675174957583	NDUFA9;NDUFA13;NDUFA7;NDUFA6;NDUFB5;NDUFA4;NDUFB4;NDUFB3;NDUFB1;NDUFC1;NDUFS7;NDUFS6;NDUFAB1;NDUFS4;NDUFS2;NDUFV3;NDUFV2
GO_Cellular_Component_2021	mitochondrial proton-transporting ATP synthase complex (GO:0005753)	10/18	2.832663106562933e-09	1.2180451358220614e-07	0	0	23.97979797979798	471.9715478351778	ATP5PF;ATP5F1A;ATP5PD;ATP5F1B;ATP5PB;ATP5MC2;ATP5MC3;ATP5F1C;ATP5MG;ATP5MF
GO_Cellular_Component_2021	intracellular organelle lumen (GO:0070013)	78/848	1.3833152977513108e-07	5.204723807789306e-06	0	0	2.0029016536608726	31.63305288042256	GFM1;COLGALT2;ACAA2;CTSZ;PRSS23;TXN2;CA5B;PSMD2;PSMD3;CTSH;ME2;JAK2;IDH3A;BCKDHA;TOR3A;MARS2;NME2;DARS2;ILF2;PDIA6;COASY;PSMA5;OXA1L;NDUFS7;MTHFD2;PSMA2;ETHE1;COL6A2;PCCB;NDUFS2;FAM20C;SUCLG1;MRRF;CES1;FH;PSMD14;SHMT2;ETFDH;MRPL58;AK4;HSD17B10;GNS;CLN6;PRDX3;PSMB7;HMGCL;CCNB1;ATP5F1A;COMMD9;ATP5F1B;PDGFD;PSMB1;PDSS2;LTA4H;CCT8;DECR1;NDUFA9;PTCD1;MTERF2;MDH2;IDH3G;ATP5PB;FUCA2;DEFA1;ERAL1;SUOX;ATP5F1C;CS;GSTZ1;ALDH4A1;BCKDK;GLUD1;SUCLA2;GLB1;NDUFAB1;CALU;CDK1;ACO2
GO_Cellular_Component_2021	proton-transporting ATP synthase complex (GO:0045259)	8/15	1.78553388021727e-07	5.971618866059981e-06	0	0	21.881336405529957	340.00048032551064	ATP5PF;ATP5F1A;ATP5PD;ATP5F1B;ATP5PB;ATP5F1C;ATP5MG;ATP5MF
GO_Cellular_Component_2021	spindle (GO:0005819)	28/192	3.479121122450551e-07	1.0472154578576158e-05	0	0	3.308541603934558	49.202367493037215	NEXMIF;BOD1L1;BUB1B;TTK;KIF11;SKA1;AURKA;CDC20;KIF3A;NUSAP1;TPPP;SPAG5;CKAP2L;PLK1;KIF23;CDC6;KNSTRN;CCSAP;TPX2;CENPF;ESPL1;TFDP2;PRC1;KIF4A;CDK1;KIF2C;KIF20A;EFHC2
