Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	25/58	7.985314719084523e-18	5.046718902461418e-15	0	0	14.737373737373735	580.1945979007711	NDUFA13;COX15;NDUFB5;NDUFB4;NDUFB3;NDUFB1;COX6A1;COX5B;COX5A;UQCRH;UQCRFS1;NDUFV3;NDUFV2;COX8A;NDUFA9;NDUFA7;NDUFA6;NDUFA4;CYBRD1;NDUFC1;COX6B1;NDUFS7;NDUFS6;NDUFS4;NDUFS2
GO_Molecular_Function_2021	NADH dehydrogenase (quinone) activity (GO:0050136)	16/35	2.2439616237154364e-12	4.727279153960519e-10	0	0	16.24390243902439	435.70659271406953	NDUFA9;NDUFA13;NDUFA7;NDUFA6;NDUFB5;NDUFA4;NDUFB4;NDUFB3;NDUFB1;NDUFC1;NDUFS7;NDUFS6;NDUFS4;NDUFS2;NDUFV3;NDUFV2
GO_Molecular_Function_2021	NADH dehydrogenase (ubiquinone) activity (GO:0008137)	16/35	2.2439616237154364e-12	4.727279153960519e-10	0	0	16.24390243902439	435.70659271406953	NDUFA9;NDUFA13;NDUFA7;NDUFA6;NDUFB5;NDUFA4;NDUFB4;NDUFB3;NDUFB1;NDUFC1;NDUFS7;NDUFS6;NDUFS4;NDUFS2;NDUFV3;NDUFV2
GO_Molecular_Function_2021	microtubule motor activity (GO:0003777)	13/56	2.872607777126993e-06	0.0003980435184204425	0	0	5.806672792818265	74.09483055763057	KIF14;KIF23;KIF11;KIF15;KIF19;KIF18B;KIF5C;KIF3A;KIF4A;KIF21A;KIF2C;KIF21B;KIF20A
GO_Molecular_Function_2021	cytochrome-c oxidase activity (GO:0004129)	7/15	3.4564472752117232e-06	0.0003980435184204425	0	0	16.735146022155085	210.4489679278765	COX8A;COX15;NDUFA4;COX5B;COX6A1;COX5A;COX6B1
GO_Molecular_Function_2021	motor activity (GO:0003774)	14/66	3.778894162219392e-06	0.0003980435184204425	0	0	5.173818068341395	64.60070186146955	KIF14;KIF23;KIF11;KIF15;KIF19;KIF18B;KIF5C;KIF3A;KIF4A;MYO6;KIF21A;KIF2C;KIF21B;KIF20A
GO_Molecular_Function_2021	proton transmembrane transporter activity (GO:0015078)	10/40	2.006254012159013e-05	0.0018113607652635	0	0	6.387205387205388	69.08820447910999	COX8A;COX15;NDUFA4;UQCRFS1;COX5B;COX6A1;COX5A;UQCRH;ATP6V1F;COX6B1
GO_Molecular_Function_2021	active ion transmembrane transporter activity (GO:0022853)	10/42	3.179668819326699e-05	0.002511938367268	0	0	5.987373737373737	62.00613106107636	COX8A;COX15;NDUFA4;SLCO4A1;UQCRFS1;COX5B;COX6A1;COX5A;UQCRH;COX6B1
GO_Molecular_Function_2021	tubulin binding (GO:0015631)	32/307	7.272584776492126e-05	0.0051069706430478	0	0	2.250939143501127	21.448779740624285	TUBGCP2;DIXDC1;KIF14;BRCA1;BRCA2;SKA1;NCALD;KIF15;KIF19;OPA1;KIF5C;KIF3A;NUSAP1;KIF21A;KIF21B;TPPP;DLGAP5;RAB11FIP5;SPAG5;RCC2;PLK1;KIF23;CCSAP;CKAP5;ARL4C;TPX2;KIF18B;CDK5;PRC1;KIF2C;KIF20A;EFHC2
GO_Molecular_Function_2021	microtubule binding (GO:0008017)	26/232	0.00010433401108375568	0.0065939095004933	0	0	2.435378082574111	22.32733477305734	TUBGCP2;KIF14;SKA1;KIF15;KIF19;OPA1;KIF5C;KIF3A;NUSAP1;KIF21A;KIF21B;TPPP;DLGAP5;SPAG5;RCC2;PLK1;KIF23;KNSTRN;CCSAP;CKAP5;TPX2;KIF18B;CDK5;PRC1;KIF2C;KIF20A
GO_Molecular_Function_2021	NADH dehydrogenase activity (GO:0003954)	4/7	0.00019255968499406884	0.0110634291742046	0	0	25.43105756358768	217.565352468448	NDUFA9;NDUFA13;NDUFS7;NDUFS2
GO_Molecular_Function_2021	ErbB-3 class receptor binding (GO:0043125)	3/5	0.0011550539102246	0.0608328392718321	0	0	28.5827482447342	193.32251213811875	CDK5;ERBB2;NRG1
GO_Molecular_Function_2021	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	12/87	0.0012720835503856	0.0618428310649	0	0	3.064777327935223	20.433174262715088	CBR1;HADHA;GRHPR;MDH1;MDH2;AKR1A1;SORD;AKR1C3;ME2;PTGR1;HSD17B10;DHRS4
GO_Molecular_Function_2021	malate dehydrogenase activity (GO:0016615)	3/6	0.002224176650338	0.1004056887866911	0	0	19.05416248746239	116.38984548717777	MDH1;MDH2;ME2
GO_Molecular_Function_2021	ADP transmembrane transporter activity (GO:0015217)	3/7	0.0037478971295969	0.1579113990603504	0	0	14.28986960882648	79.83121913093706	SLC25A42;SLC25A5;SLC25A6
GO_Molecular_Function_2021	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	4/16	0.0069761600301014	0.2755583211890068	0	0	6.35475234270415	31.55297634487984	CBR1;NDUFS7;AKR1C3;DHRS4
GO_Molecular_Function_2021	acyl-CoA hydrolase activity (GO:0047617)	4/18	0.0108329938296113	0.3884990483096949	0	0	5.44635685599541	24.64562975076227	ACAA2;PPT1;PLA2G6;ABCD1
GO_Molecular_Function_2021	ATP transmembrane transporter activity (GO:0005347)	3/10	0.0114790731938929	0.3884990483096949	0	0	8.164350193437455	36.47202704147861	SLC25A42;SLC25A5;SLC25A6
GO_Molecular_Function_2021	cholesterol binding (GO:0015485)	7/50	0.0116795599966522	0.3884990483096949	0	0	3.107777699711937	13.82934652122451	SOAT1;NPC2;CAV1;PTCH1;VDAC2;VDAC1;ERLIN2
GO_Molecular_Function_2021	PDZ domain binding (GO:0030165)	8/63	0.0128556955778879	0.396917831342454	0	0	2.777859237536657	12.094711146008963	TGFBR3;SLC9A3R1;FZD2;PLEKHA1;KIF14;TBC1D10A;CIT;LLGL2
GO_Molecular_Function_2021	anion:anion antiporter activity (GO:0015301)	4/19	0.0131887254085309	0.396917831342454	0	0	5.0829986613119145	22.00121557093393	SLC4A2;SLC25A5;SLC25A11;SLC25A6
GO_Molecular_Function_2021	magnesium ion binding (GO:0000287)	14/146	0.0147573625622149	0.4196325911683704	0	0	2.029565431188149	8.55667457503432	TOP2A;IDH3G;SPHK1;PLK1;THG1L;HMGCL;OPA1;MTHFD2;TSSK3;HPRT1;TPPP;XXYLT1;RAN;IDH3A
GO_Molecular_Function_2021	adenine nucleotide transmembrane transporter activity (GO:0000295)	3/12	0.0195303777241044	0.4196325911683704	0	0	6.3493814777666335	24.989795259131327	SLC35B3;SLC25A42;SLC25A5
GO_Molecular_Function_2021	transforming growth factor beta-activated receptor activity (GO:0005024)	3/12	0.0195303777241044	0.4196325911683704	0	0	6.3493814777666335	24.989795259131327	TGFBR3;LTBP4;BMPR1A
GO_Molecular_Function_2021	adenyl ribonucleotide binding (GO:0032559)	24/306	0.019979446285987	0.4196325911683704	0	0	1.632193930938263	6.386858452016099	NDUFA13;ABCB1;DMPK;SPHK1;PLK1;KIF14;RHOBTB3;DARS2;RUNX3;THG1L;BCKDK;GLUD1;ZAP70;ATP5F1A;RPS6KA5;P2RX4;STING1;AKT3;MYO6;PMVK;TSSK3;TRIP13;ABCD1;BMPR1A
GO_Molecular_Function_2021	mannosyltransferase activity (GO:0000030)	4/22	0.0221114308516131	0.4196325911683704	0	0	4.2351628737170905	16.14300333781837	ALG8;TMTC3;TMTC2;ALG1
GO_Molecular_Function_2021	beta-2 adrenergic receptor binding (GO:0031698)	2/5	0.022575171043868	0.4196325911683704	0	0	12.69004676018704	48.10675667565275	SLC9A3R1;AKAP5
GO_Molecular_Function_2021	C-acetyltransferase activity (GO:0016453)	2/5	0.022575171043868	0.4196325911683704	0	0	12.69004676018704	48.10675667565275	HADHA;ACAA2
GO_Molecular_Function_2021	carbonyl reductase (NADPH) activity (GO:0004090)	2/5	0.022575171043868	0.4196325911683704	0	0	12.69004676018704	48.10675667565275	CBR1;DHRS4
GO_Molecular_Function_2021	dolichyl-diphosphooligosaccharide-protein glycotransferase activity (GO:0004579)	2/5	0.022575171043868	0.4196325911683704	0	0	12.69004676018704	48.10675667565275	RPN2;OSTC
GO_Molecular_Function_2021	endogenous lipid antigen binding (GO:0030883)	2/5	0.022575171043868	0.4196325911683704	0	0	12.69004676018704	48.10675667565275	CD1D;CD1A
GO_Molecular_Function_2021	exogenous lipid antigen binding (GO:0030884)	2/5	0.022575171043868	0.4196325911683704	0	0	12.69004676018704	48.10675667565275	CD1D;CD1A
GO_Molecular_Function_2021	isocitrate dehydrogenase activity (GO:0004448)	2/5	0.022575171043868	0.4196325911683704	0	0	12.69004676018704	48.10675667565275	IDH3G;IDH3A
GO_Molecular_Function_2021	oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor (GO:0016668)	2/5	0.022575171043868	0.4196325911683704	0	0	12.69004676018704	48.10675667565275	PRDX3;TXN
GO_Molecular_Function_2021	gamma-tubulin binding (GO:0043015)	4/23	0.0257348945908218	0.4646986680399835	0	0	4.0120481927710845	14.683725037711966	TUBGCP2;DIXDC1;BRCA2;RAB11FIP5
GO_Molecular_Function_2021	sterol binding (GO:0032934)	7/60	0.0294812635990384	0.4813590296358846	0	0	2.5200744836496987	8.880743361536343	SOAT1;NPC2;CAV1;PTCH1;VDAC2;VDAC1;ERLIN2
