"","PPEE","PPDE"
"TSPAN6",0.809510625226232,0.190489374773768
"DPM1",NA,NA
"SCYL3",0.900553816627968,0.0994461833720317
"C1orf112",0.931518519852326,0.0684814801476737
"FGR",0.517285367760231,0.482714632239769
"CFH",0.033029430821956,0.966970569178044
"FUCA2",3.47723024651803e-06,0.999996522769753
"GCLC",0.841076143882159,0.158923856117841
"NFYA",0.980609309695153,0.0193906903048466
"STPG1",0.936637653570144,0.0633623464298559
"NIPAL3",0.700890473397455,0.299109526602545
"LAS1L",0.977685260330794,0.022314739669206
"ENPP4",0.974057835900504,0.0259421640994956
"ANKIB1",0.914911027399956,0.0850889726000444
"CYP51A1",0.9449402264021,0.0550597735978997
"KRIT1",0.979147506896356,0.020852493103644
"RAD52",0.886603418034624,0.113396581965376
"BAD",0.864287311043064,0.135712688956936
"LAP3",0.037396616574377,0.962603383425623
"CD99",0.931518586015851,0.0684814139841494
"HS3ST1",0.821655065542006,0.178344934457994
"AOC1",NA,NA
"WNT16",0.833927083043271,0.166072916956729
"MAD1L1",0.897843127050373,0.102156872949627
"LASP1",0.988694357668347,0.0113056423316532
"SNX11",0.00721906073847089,0.992780939261529
"TMEM176A",0.895054034334908,0.104945965665092
"M6PR",1.01457470202959e-08,0.999999989854253
"KLHL13",0.945286614508911,0.0547133854910891
"CYP26B1",0.999999999999999,1.4174933908075e-15
"ICA1",0.1609257485182,0.8390742514818
"DBNDD1",0.83061669098582,0.16938330901418
"ALS2",0.847290113792647,0.152709886207353
"CASP10",NA,NA
"CFLAR",0.994155125175847,0.00584487482415292
"TFPI",0.790553594482713,0.209446405517287
"NDUFAF7",0.90596160371348,0.0940383962865199
"RBM5",0.990645686499705,0.0093543135002955
"MTMR7",0.958223803160707,0.0417761968392932
"ARF5",0.935194637830521,0.0648053621694789
"SARM1",0.000536127007156884,0.999463872992843
"POLDIP2",0.0193841340391718,0.980615865960828
"PLXND1",0.712250347898796,0.287749652101204
"AK2",1.41793973895687e-06,0.999998582060261
"CD38",0.443331601233685,0.556668398766315
"FKBP4",0.812891519723037,0.187108480276963
"KDM1A",0.773410403010152,0.226589596989848
"RBM6",0.988875434631325,0.0111245653686746
"CAMKK1",0.9629222585073,0.0370777414927003
"RECQL",0.982771353684034,0.0172286463159664
"VPS50",0.806037914952192,0.193962085047808
"HSPB6",0.999999999999999,9.23594214806252e-16
"ARHGAP33",0.0307603784364198,0.96923962156358
"NDUFAB1",0,1
"PDK4",0.225016267800416,0.774983732199584
"SLC22A16",4.07933131718607e-09,0.999999995920669
"ZMYND10",0.372987477659556,0.627012522340444
"SLC25A13",0.0682848303149582,0.931715169685042
"ST7",0.531225064060662,0.468774935939338
"CDC27",0.31736356334398,0.68263643665602
"SLC4A1",0.915922400337013,0.0840775996629874
"HCCS",0.000501325594060131,0.99949867440594
"DVL2",0.0944890740522154,0.905510925947785
"PRSS22",0.0698165531738791,0.930183446826121
"UPF1",0.987211839993828,0.0127881600061724
"SKAP2",0.66182229759748,0.33817770240252
"SLC25A5",3.35396403983168e-08,0.99999996646036
"MCUB",0.980898648056473,0.0191013519435267
"POLR2J",0.777585230130562,0.222414769869438
"DHX33",0.00177717080742801,0.998222829192572
"MEOX1",0.54089084407842,0.45910915592158
"THSD7A",0.00451672698563266,0.995483273014367
"LIG3",0.973693353142296,0.0263066468577037
"RPAP3",0.923036067461783,0.0769639325382172
"ACSM3",0.889393915290465,0.110606084709535
"REXO5",0.732409400448575,0.267590599551425
"CIAPIN1",NA,NA
"SPPL2B",0.960460858808628,0.0395391411913724
"FAM214B",0.716520998199117,0.283479001800883
"COPZ2",0.508288875834514,0.491711124165486
"PRKAR2B",0.98502170547513,0.0149782945248704
"MSL3",0.975283816400412,0.0247161835995884
"CREBBP",0.987399579295724,0.012600420704276
"TSPOAP1",0,1
"MPO",0.848108607873306,0.151891392126694
"GCFC2",0.861391978486189,0.138608021513811
"WDR54",0.0278379410337061,0.972162058966294
"CROT",0.0529270404325632,0.947072959567437
"ABCB4",0.976781685674365,0.0232183143256354
"KMT2E",0,1
"RHBDD2",0.828109501411217,0.171890498588783
"SOX8",0.545840464393942,0.454159535606058
"IBTK",NA,NA
"ZNF195",0.976093143976502,0.0239068560234978
"MYCBP2",0.982674921630529,0.0173250783694714
"FBXL3",0.956538868734109,0.0434611312658909
"ITGAL",0.969705369817715,0.030294630182285
"PDK2",0.899451905631514,0.100548094368486
"ITGA3",0.938752325601203,0.0612476743987974
"ZFX",0.947073247546798,0.0529267524532016
"LAMP2",0.96053803566209,0.03946196433791
"ITGA2B",0.971637660085862,0.0283623399141384
"GDE1",0.663500017698913,0.336499982301087
"REX1BD",0.479410230461815,0.520589769538185
"CRLF1",2.03846155124587e-05,0.999979615384488
"OSBPL7",0.00770535418123064,0.992294645818769
"TMEM98",0.13304739868383,0.86695260131617
"YBX2",0.999999999999999,9.14005617961728e-16
"MAP3K14",0.916137286020452,0.0838627139795484
"TMEM132A",0.928367978878039,0.0716320211219612
"AP2B1",0.957938657820892,0.0420613421791077
